time_s,qlen_pkts
18.456995,10
18.471437,9
18.486168,9
18.500543,9
18.514905,10
18.530260,10
18.544933,9
18.559510,9
18.573872,8
18.588570,8
18.603009,8
18.617676,2
18.632938,3
18.647790,3
18.662173,3
18.676813,3
18.690889,2
18.705884,3
18.720810,3
18.734940,3
18.749366,6
18.763593,4
18.778962,5
18.793507,5
18.808283,6
18.822693,4
18.837550,5
18.851788,7
18.866443,6
18.880952,5
18.896184,6
18.910451,8
18.925090,7
18.940199,8
18.954998,9
18.969229,8
18.983748,7
18.998073,8
19.013176,9
19.027322,9
19.041725,9
19.056304,10
19.071148,9
19.085683,8
19.100197,7
19.114885,8
19.129277,5
19.143494,2
19.157938,2
19.172251,2
19.186510,3
19.200668,2
19.214971,2
19.229469,3
19.244266,4
19.258648,5
19.272945,4
19.287278,5
19.302098,4
19.316872,5
19.331314,5
19.345571,6
19.360232,7
19.374516,6
19.389135,6
19.403710,7
19.417958,6
19.432419,7
19.446983,7
19.461887,8
19.476823,8
19.491314,8
19.505641,8
19.520029,8
19.534436,8
19.548865,8
19.563975,9
19.578243,8
19.593225,9
19.608144,9
19.622495,9
19.637083,9
19.652308,9
19.667336,9
19.681752,10
19.696559,10
19.710750,9
19.725601,9
19.740639,7
19.754784,2
19.769144,2
19.784108,2
19.798435,2
19.814250,3
19.829043,3
19.843366,3
19.857903,5
19.872306,4
19.887186,4
19.901940,4
19.916358,6
19.931144,5
19.945866,5
19.960240,7
19.974476,6
19.989435,7
20.003851,7
20.019023,7
20.033395,6
20.047612,6
20.061901,8
20.075990,8
20.090029,7
20.104103,7
20.118341,8
20.133419,8
20.147897,8
20.162180,9
20.176789,9
20.191246,9
20.205567,8
20.219947,8
20.234889,5
20.249403,2
20.263847,1
20.278211,3
20.292720,3
20.307319,1
20.321978,2
20.337130,2
20.351696,2
20.366237,4
20.381171,3
20.395459,4
20.410617,4
20.425296,5
20.439730,4
20.454501,6
20.468766,7
20.483227,6
20.498077,5
20.512886,7
20.527597,6
20.542251,6
20.557004,7
20.571440,8
20.585916,7
20.600835,8
20.615215,7
20.630016,8
20.644366,8
20.658811,8
20.673337,9
20.687864,8
20.702215,8
20.716249,9
20.730290,9
20.745130,10
20.760524,9
20.775197,10
20.789902,8
20.804357,8
20.818622,8
20.834689,4
20.849032,4
20.863135,3
20.878572,3
20.892681,3
20.908447,2
20.922700,4
20.937128,4
20.951668,4
20.965758,5
20.980874,4
20.995375,4
21.009817,4
21.024034,6
21.038341,5
21.052825,5
21.067294,7
21.081924,6
21.096217,7
21.110539,7
21.124841,7
21.139259,6
21.154071,7
21.169527,9
21.184172,8
21.198781,8
21.213631,9
21.228363,8
21.243239,9
21.257323,9
21.271967,10
21.286340,9
21.300923,9
21.315587,8
21.330722,8
21.344915,3
21.359941,2
21.374369,3
21.388661,2
21.402873,3
21.417330,3
21.431740,2
21.446674,3
21.461376,3
21.475907,4
21.491293,3
21.506512,4
21.521140,4
21.536166,4
21.550519,5
21.565078,5
21.580212,6
21.595072,5
21.609642,6
21.624195,6
21.638598,6
21.653035,6
21.667596,6
21.682372,8
21.696638,7
21.711148,7
21.726157,9
21.740903,8
21.756251,8
21.770850,10
21.785278,9
21.800184,9
21.814817,7
21.829617,9
21.844613,9
21.859428,9
21.873850,9
21.888688,9
21.903520,10
21.918704,8
21.933449,9
21.948506,8
21.963353,3
21.977891,2
21.992633,2
22.007435,2
22.021570,3
22.036319,3
22.050370,4
22.064541,4
22.079301,5
22.093558,5
22.108059,4
22.122332,5
22.136897,4
22.151603,5
22.166393,6
22.180408,8
22.194747,6
22.209270,6
22.223787,6
22.238329,6
22.252796,6
22.267478,7
22.281877,8
22.296066,7
22.310514,7
22.324739,8
22.339152,9
22.353695,8
22.367832,8
22.382553,9
22.397099,9
22.412200,8
22.426356,8
22.441404,6
22.456062,3
22.470760,1
22.485268,2
22.500003,4
22.514555,2
22.529848,2
22.544297,3
22.558563,4
22.572814,3
22.587725,4
22.603083,4
22.617471,4
22.631994,4
22.646706,4
22.661115,5
22.675798,6
22.690002,5
22.704630,6
22.719123,6
22.733642,6
22.748391,6
22.762924,6
22.777192,8
22.791602,8
22.806303,6
22.820938,8
22.835450,8
22.849792,8
22.864120,8
22.878844,9
22.893455,10
22.908105,8
22.922889,9
22.937270,9
22.951530,9
22.966216,10
22.980722,9
22.995717,9
23.009999,8
23.024510,8
23.038841,8
23.053003,2
23.067291,2
23.081923,5
23.096258,3
23.111109,3
23.125715,3
23.140978,3
23.155725,4
23.170253,5
23.185378,5
23.199865,4
23.214498,4
23.228724,5
23.243429,5
23.258112,6
23.272500,7
23.287384,7
23.302072,5
23.317316,6
23.331691,7
23.346104,7
23.360834,7
23.375441,7
23.390257,8
23.404840,7
23.419144,7
23.433937,8
23.448944,8
23.463821,9
23.478038,9
23.492857,10
23.507336,9
23.522159,9
23.537178,7
23.551855,3
23.566481,2
23.581177,4
23.595476,2
23.610199,4
23.624945,2
23.639493,3
23.653540,3
23.668232,3
23.682605,4
23.697269,4
23.711530,5
23.726004,4
23.740201,5
23.754740,4
23.769451,5
23.784028,6
23.799000,6
23.813303,5
23.827773,6
23.842572,6
23.857114,6
23.871576,6
23.885991,8
23.901114,8
23.915517,8
23.930389,9
23.945247,8
23.959793,8
23.974351,8
23.988808,9
24.003100,9
24.017706,8
24.032389,9
24.046625,10
24.062023,9
24.076169,9
24.090465,9
24.105083,9
24.119393,8
24.134103,8
24.148722,7
24.163420,2
24.178110,1
24.192139,3
24.206548,2
24.220923,2
24.235363,3
24.250087,3
24.264738,3
24.279381,4
24.294647,4
24.309647,4
24.324645,5
24.339317,5
24.354194,5
24.368366,6
24.382796,6
24.397539,7
24.411929,6
24.426645,6
24.441357,7
24.455626,6
24.469908,7
24.485174,8
24.499636,9
24.514326,8
24.528945,8
24.543560,8
24.558291,9
24.573418,8
24.588205,8
24.603300,9
24.618503,8
24.633476,9
24.648013,8
24.662476,8
24.676806,4
24.691402,3
24.706139,2
24.721468,3
24.736143,2
24.750328,2
24.765026,2
24.779193,4
24.793869,4
24.809618,3
24.824085,3
24.840333,3
24.855065,4
24.869577,4
24.884214,5
24.899214,5
24.913747,6
24.928162,6
24.942582,6
24.956943,5
24.971538,6
24.986261,7
25.000867,9
25.015448,7
25.029624,8
25.044107,7
25.058598,8
25.073353,8
25.087781,9
25.102365,10
25.116846,9
25.131487,9
25.145735,9
25.160194,10
25.174690,9
25.189285,9
25.203869,9
25.218617,8
25.233194,8
25.247690,7
25.261918,6
25.276537,4
25.291171,1
25.305661,3
25.319942,2
25.334569,3
25.349313,3
25.364231,3
25.378527,5
25.392836,4
25.406972,4
25.421422,4
25.435843,5
25.450454,5
25.464997,6
25.479208,7
25.494450,7
25.509437,7
25.524001,6
25.538417,6
25.553071,6
25.567159,6
25.582246,7
25.596628,9
25.611420,9
25.626102,8
25.640936,9
25.655759,9
25.670494,8
25.685017,8
25.699609,10
25.713966,8
25.728510,8
25.743034,8
25.757272,9
25.771616,10
25.786421,9
25.800608,10
25.815072,10
25.829620,9
25.843769,8
25.858458,8
25.873108,2
25.887729,2
25.902218,3
25.917593,2
25.932066,2
25.946561,2
25.961258,3
25.975764,4
25.989989,5
26.004814,4
26.019486,4
26.033666,5
26.048535,5
26.062957,6
26.077531,6
26.091766,6
26.106256,6
26.120472,7
26.134793,6
26.149949,6
26.164737,6
26.179037,7
26.193879,7
26.208398,8
26.223055,7
26.237252,7
26.251569,8
26.266093,8
26.281236,7
26.295451,10
26.310386,9
26.325180,8
26.339312,8
26.354043,7
26.368372,6
26.383214,3
26.397854,2
26.412357,2
26.427097,3
26.441327,2
26.455828,3
26.470293,2
26.484792,3
26.499153,3
26.513617,3
26.527780,4
26.542081,5
26.556570,4
26.571297,4
26.585571,5
26.600113,6
26.614310,6
26.628768,6
26.643409,6
26.657879,7
26.672521,7
26.687060,7
26.701326,8
26.716264,7
26.730438,7
26.744541,8
26.759192,8
26.774432,8
26.789017,8
26.803391,9
26.817808,10
26.832848,8
26.847154,10
26.861744,9
26.876460,9
26.891184,10
26.905710,9
26.920951,9
26.935208,8
26.949992,8
26.964404,8
26.978691,2
26.993489,2
27.008410,3
27.022914,2
27.037613,3
27.052153,2
27.066658,3
27.081097,3
27.095191,4
27.109333,5
27.123881,4
27.138358,5
27.153137,4
27.167656,6
27.182063,6
27.196406,7
27.210941,6
27.225171,6
27.239674,6
27.254435,6
27.268786,6
27.282957,7
27.297524,7
27.312283,8
27.326721,8
27.341013,7
27.355501,8
27.370069,8
27.384957,9
27.399159,10
27.414183,10
27.428541,9
27.443473,9
27.457861,9
27.472640,9
27.487204,9
27.502170,9
27.517195,10
27.532128,9
27.546565,9
27.561288,8
27.576034,4
27.590474,4
27.604978,2
27.619552,4
27.635214,3
27.649805,3
27.664612,3
27.678898,3
27.693457,4
27.708405,4
27.723009,4
27.737498,4
27.752050,5
27.766868,5
27.781704,5
27.796283,7
27.811234,6
27.826399,8
27.841520,6
27.856326,6
27.870899,6
27.885345,8
27.899596,7
27.914759,8
27.929799,8
27.944569,7
27.959984,8
27.975324,8
27.989881,9
28.004235,10
28.018720,10
28.033997,9
28.048334,8
28.062617,7
28.077653,7
28.092478,2
28.107162,2
28.121911,3
28.136285,2
28.150352,2
28.165219,3
28.179473,3
28.193755,3
28.208002,3
28.222340,4
28.238105,5
28.252882,5
28.267040,4
28.281638,5
28.296140,5
28.310796,5
28.325476,6
28.340826,4
28.355503,6
28.369944,7
28.384452,6
28.399137,7
28.413323,8
28.428935,8
28.443455,8
28.457960,9
28.472759,8
28.487816,8
28.502604,9
28.517276,9
28.531652,9
28.546789,9
28.561143,9
28.576025,9
28.590997,9
28.605350,9
28.619952,10
28.634774,9
28.649459,8
28.663776,8
28.678790,8
28.693440,2
28.707841,2
28.722784,4
28.737783,2
28.752674,2
28.767385,4
28.781735,3
28.796398,3
28.810858,4
28.825332,5
28.840292,4
28.855121,5
28.869535,5
28.883638,6
28.897966,6
28.913191,6
28.927644,7
28.942505,6
